Wed Mar 23 2022 15:07:48 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":11,"status":true} | 
Wed Mar 23 2022 15:07:51 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /recoverUOM | data:{"message":"API Done","value":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":2,"warningCount":0,"message":"(Rows matched: 1  Changed: 1  Warnings: 0","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Wed Mar 23 2022 15:07:51 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":11,"status":true} | 
Wed Mar 23 2022 15:11:21 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":11,"status":true} | 
Wed Mar 23 2022 15:11:47 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":11,"status":true} | 
Wed Mar 23 2022 15:12:29 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":11,"status":true} | 
Wed Mar 23 2022 15:12:32 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /recoverUOM | data:{"message":"API Done","value":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":2,"warningCount":0,"message":"(Rows matched: 1  Changed: 1  Warnings: 0","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Wed Mar 23 2022 15:12:32 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":11,"status":true} | 
Wed Mar 23 2022 15:12:38 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":11,"status":true} | 
Wed Mar 23 2022 15:12:49 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":11,"status":true} | 
Wed Mar 23 2022 15:12:52 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":11,"status":true} | 
Wed Mar 23 2022 15:15:15 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":11,"status":true} | 
Wed Mar 23 2022 15:15:18 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":11,"status":true} | 
Wed Mar 23 2022 15:15:42 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":11,"status":true} | 
Wed Mar 23 2022 15:15:44 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":11,"status":true} | 
Wed Mar 23 2022 15:15:47 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":11,"status":true} | 
Wed Mar 23 2022 15:15:53 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /recoverUOM | data:{"message":"API Done","value":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":2,"warningCount":0,"message":"(Rows matched: 1  Changed: 1  Warnings: 0","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Wed Mar 23 2022 15:15:54 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":11,"status":true} | 
Wed Mar 23 2022 15:16:03 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":11,"status":true} | 
Wed Mar 23 2022 15:16:17 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":11,"status":true} | 
Wed Mar 23 2022 15:16:18 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":11,"status":true} | 
Wed Mar 23 2022 15:16:22 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":11,"status":true} | 
Wed Mar 23 2022 15:16:36 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":11,"status":true} | 
Wed Mar 23 2022 15:16:43 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /deleteUOM | data:{"message":"API Done","value":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":2,"warningCount":0,"message":"(Rows matched: 1  Changed: 1  Warnings: 0","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Wed Mar 23 2022 15:16:44 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":11,"status":true} | 
Wed Mar 23 2022 15:21:33 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":11,"status":true} | 
Wed Mar 23 2022 15:22:11 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":11,"status":true} | 
Wed Mar 23 2022 15:23:21 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":9,"status":true} | 
Wed Mar 23 2022 15:24:19 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":9,"status":true} | 
Wed Mar 23 2022 15:24:27 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":9,"status":true} | 
Wed Mar 23 2022 15:24:31 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":9,"status":true} | 
Wed Mar 23 2022 15:25:35 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":9,"status":true} | 
Wed Mar 23 2022 15:26:23 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":9,"status":true} | 
Wed Mar 23 2022 20:24:23 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":9,"status":true} | 
Wed Mar 23 2022 20:24:49 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":9,"status":true} | 
Wed Mar 23 2022 20:26:38 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":9,"status":true} | 
Wed Mar 23 2022 20:26:49 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":9,"status":true} | 
Wed Mar 23 2022 20:26:53 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":9,"status":true} | 
Wed Mar 23 2022 20:26:56 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":9,"status":true} | 
Wed Mar 23 2022 20:27:21 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":9,"status":true} | 
Wed Mar 23 2022 20:27:38 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":9,"status":true} | 
