Wed Mar 23 2022 14:04:04 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":8,"status":true} | 
Wed Mar 23 2022 14:04:29 GMT+0800 (China Standard Time) | ERROR | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Error: QueryFailedError: ER_BAD_FIELD_ERROR: Unknown column 'undefined' in 'where clause'","status":false} | 
Wed Mar 23 2022 14:04:29 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 14:05:19 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 14:05:22 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 14:05:23 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":8,"status":true} | 
Wed Mar 23 2022 14:05:39 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":8,"status":true} | 
Wed Mar 23 2022 14:06:42 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":8,"status":true} | 
Wed Mar 23 2022 14:06:44 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 14:08:57 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 14:09:25 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 14:11:31 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":4,"status":true} | 
