Wed Mar 23 2022 12:01:19 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:01:19 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:01:27 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:01:29 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:01:33 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:01:38 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:01:43 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:01:44 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:01:47 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:01:47 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:01:49 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:01:49 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:01:56 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:01:56 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:02:03 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:02:04 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:02:07 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:02:08 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:02:10 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:02:10 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:02:14 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:02:16 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:02:28 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:02:28 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:02:31 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:02:32 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:02:39 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:02:40 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:02:43 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:02:43 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:02:46 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:02:47 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:02:49 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:02:49 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:04:17 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:04:18 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
